Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
LLxMxDxRxz_L4;Hxldtxch zxntxxgx;0,15%;0,277777778;0,8;0,4;;1;2024
LLxMxDxRxz_L4;xBR Lxtxm Cxlxmbxx;0,15%;0,377358491;0,275;0,225;;1;2024
LLxMxDxRxz_L4;PHxxNxXzxLxz;0,12%;0,409090909;0,166666667;0,055555556;;1;2024
LLxMxDxRxz_L4;Kxnxctx txlxvxntxz cxlxmbxx;0,09%;0,308219178;0,111111111;0,022222222;;1;2024
LLxMxDxRxz_L4;Hxldtxch;8,20%;0,11050663;0,027692308;0,012307692;;1;2024
LLxMxDxRxz_L4;Kxnxctx txlxvxntxz;100,00%;0,05919361;0,004145859;0,002072929;;1;2024
LLxMxDxRxz_L4;VTxC;100,00%;0,203471874;0,003281378;0,002050861;;1;2024
LLxMxDxRxz_L4;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,355386129;0,003044983;0,001564014;;1;2024
LLxMxDxRxz_L4;Gzz BxRRxNQxxLLx;100,00%;0,378442573;0,002099448;0,001348066;;1;2024
LLxMxDxRxz_L4;NxTPxG;100,00%;0,391505017;0,002690928;0,001153255;;1;2024
LLxMxDxRxz_L4;MxRKxTMxX;100,00%;0,216279672;0,002511107;0,001004443;;1;2024
LLxMxDxRxz_L4;xpxx Txlxvxntxz Cxlxmbxx;0,02%;0,333333333;-;-;;1;2024
LLxMxDxRxz_L5_xNTxL;Hxldtxch zxntxxgx;0,19%;0,461538462;1;0,666666667;;1;2024
LLxMxDxRxz_L5_xNTxL;Hxldtxch;22,10%;0,219615728;0,009155646;0,006103764;;1;2024
LLxMxDxRxz_L5_xNTxL;VTxC;100,00%;0,622948396;0,003797769;0,002610966;;1;2024
LLxMxDxRxz_L5_xNTxL;Kxnxctx txlxvxntxz;100,00%;0,152156096;0,003828931;0,002336297;;1;2024
LLxMxDxRxz_L5_xNTxL;xBR Lxtxm Cxlxmbxx;100,00%;0,174251024;0,002124345;0,001699476;;1;2024
LLxMxDxRxz_L5_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,685941991;0,002793544;0,001625335;;1;2024
LLxMxDxRxz_L5_xNTxL;NxTPxG;100,00%;0,721016959;0,003078691;0,00160092;;1;2024
LLxMxDxRxz_L5_xNTxL;Gzz BxRRxNQxxLLx;100,00%;0,768990434;0,002137369;0,001232357;;1;2024
LLxMxDxRxz_L5_xNTxL;MxRKxTMxX;71,19%;0,275254943;0,002268259;0,00113413;;1;2024
LLxMxDxRxz_L5_xNTxL;Kxnxctx txlxvxntxz cxlxmbxx;0,03%;0,545454545;-;-;;1;2024
LLxMxDxRxz_L5_xNTxL;xpxx Txlxvxntxz Cxlxmbxx;0,02%;0,428571429;-;-;;1;2024
LLxMxDxRxz_L5_xNTxL;PHxxNxXzxLxz;0,04%;0,75;0,333333333;-;;1;2024
LLxMxDxRxz_L6_xNTxL;PHxxNxXzxLxz;0,04%;0,375;0,666666667;0,5;;1;2024
LLxMxDxRxz_L6_xNTxL;Kxnxctx txlxvxntxz cxlxmbxx;0,03%;0,48;0,083333333;0,125;;1;2024
LLxMxDxRxz_L6_xNTxL;VTxC;100,00%;0,498961655;0,002898551;0,001783724;;1;2024
LLxMxDxRxz_L6_xNTxL;xBR Lxtxm Cxlxmbxx;44,36%;0,216279524;0,002062919;0,001547189;;1;2024
LLxMxDxRxz_L6_xNTxL;Kxnxctx txlxvxntxz;57,95%;0,138710752;0,002524009;0,00153903;;1;2024
LLxMxDxRxz_L6_xNTxL;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,562475451;0,002141527;0,001078523;;1;2024
LLxMxDxRxz_L6_xNTxL;NxTPxG;100,00%;0,616737473;0,001985321;0,000827217;;1;2024
LLxMxDxRxz_L6_xNTxL;Gzz BxRRxNQxxLLx;100,00%;0,6902136;0,001537667;0,000806469;;1;2024
LLxMxDxRxz_L6_xNTxL;MxRKxTMxX;48,36%;0,345913591;0,001686041;0,000532434;;1;2024
LLxMxDxRxz_L6_xNTxL;xpxx Txlxvxntxz Cxlxmbxx;0,02%;0,518518519;-;-;;1;2024
LLxMxDxRxz_PxLxTx_xV;xBR Lxtxm Cxlxmbxx;26,76%;0,184376343;0,002427184;0,001553398;;1;2024
